season,avg_team_plays_per_game,med_team_plays_per_game,avg_home_points,med_home_points,avg_away_points,med_away_points,avg_total_points,med_total_points,avg_points_dome,med_points_dome,avg_points_outdoor,med_points_outdoor,avg_pass_plays_per_game,med_pass_plays_per_game,avg_explosive_passes_per_game,med_explosive_passes_per_game,avg_explosive_rushes_per_game,med_explosive_rushes_per_game,avg_team_tds_per_game,med_team_tds_per_game,avg_pass_rate,med_pass_rate,avg_explosive_play_rate,avg_explosive_rush_rate
1999,67.1497975708502,66.5,22.251012145748987,21.0,19.153846153846153,19.0,41.40485829959514,41.0,42.836363636363636,43.0,40.994791666666664,39.5,39.72672064777328,39.0,2.9109311740890687,3.0,2.3643724696356276,2.0,2.2408906882591095,2.0,0.5909960722310651,0.5972222222222222,0.043696414447732625,0.035188684589647516
2000,66.74186991869918,67.0,21.829268292682926,21.0,19.227642276422763,19.5,41.05691056910569,41.0,47.5,47.5,39.494949494949495,38.5,38.8130081300813,38.0,2.733739837398374,2.5,2.4451219512195124,2.0,2.2378048780487805,2.0,0.5828553376232758,0.5819538670284938,0.041102848469770165,0.036561098771730034
2001,133.36290322580646,134.0,20.58467741935484,21.0,19.528225806451612,18.0,40.11290322580645,38.0,45.833333333333336,44.0,38.74,37.0,76.83467741935483,76.0,5.770161290322581,6.0,5.294354838709677,4.0,4.379032258064516,4.0,0.5755612562944219,0.576014381099127,0.04318180226119679,0.03988174258861827
2002,67.865234375,67.0,22.17578125,21.0,20.87109375,20.0,43.046875,41.0,44.411764705882355,43.0,42.707317073170735,41.0,39.671875,39.0,2.759765625,3.0,2.748046875,2.0,2.384765625,2.0,0.5829650355746311,0.5859605911330049,0.04052406223668265,0.04074034498493247
2003,66.810546875,66.0,22.4140625,23.0,18.86328125,19.0,41.27734375,40.5,45.264150943396224,41.0,40.23645320197044,40.0,37.40234375,36.0,2.638671875,2.0,2.822265625,3.0,2.26171875,2.0,0.5600314922820016,0.5573770491803278,0.03939191171378567,0.042375805587599
2004,66.697265625,66.0,22.6171875,22.5,20.1015625,19.0,42.71875,41.5,45.07843137254902,47.0,42.13170731707317,40.0,37.603515625,37.0,2.9296875,3.0,2.73828125,2.0,2.40625,2.0,0.5632909276041385,0.5615530303030303,0.04398667611998203,0.0411743663307733
2005,66.94921875,66.5,22.21484375,21.0,18.65625,18.5,40.87109375,40.5,42.95652173913044,42.0,40.41428571428571,40.0,37.498046875,37.0,2.6015625,2.0,2.587890625,2.0,2.236328125,2.0,0.55875407336388,0.5606060606060606,0.03891095653569666,0.03873020488786846
2006,65.59375,65.0,20.890625,20.0,20.05078125,20.0,40.94140625,40.0,44.1551724137931,44.0,40.0,40.0,36.728515625,36.0,2.72265625,3.0,2.763671875,2.0,2.244140625,2.0,0.5602926758206012,0.5620719178082192,0.04137224901895651,0.0423335252007405
2007,65.826171875,66.0,22.9296875,21.0,20.1015625,20.0,43.03125,42.5,45.98275862068966,45.0,42.166666666666664,41.5,37.689453125,38.0,2.650390625,3.0,2.609375,2.0,2.318359375,2.0,0.5711002448157767,0.5753424657534246,0.04049939206770882,0.040042671370378605
2008,64.970703125,65.0,23.1171875,23.0,20.59765625,20.0,43.71484375,43.0,46.4,48.0,43.06310679611651,42.0,36.798828125,37.0,2.681640625,3.0,2.6328125,2.0,2.34375,2.0,0.5658555336753578,0.5714285714285714,0.041337783215930214,0.040547562041484145
2009,66.181640625,66.0,22.39453125,23.0,20.26171875,20.0,42.65625,42.0,45.12903225806452,45.0,41.865979381443296,41.0,38.0,38.0,2.892578125,3.0,2.787109375,2.0,2.361328125,2.0,0.5746204980170264,0.5797101449275363,0.043835720376247,0.041999306356122826
2010,66.578125,66.0,22.77734375,23.0,20.8828125,20.0,43.66015625,44.0,44.4,45.0,43.40837696335078,44.0,38.826171875,39.0,3.025390625,3.0,2.669921875,2.0,2.396484375,2.0,0.5831333865165416,0.5909090909090909,0.04568625603029846,0.040447365584803024
2011,67.197265625,67.0,23.6796875,23.0,20.42578125,20.0,44.10546875,43.0,46.51470588235294,44.0,43.234042553191486,43.0,39.486328125,39.0,3.279296875,3.0,2.748046875,3.0,2.3828125,2.0,0.5861842451940731,0.5958646616541353,0.048711430325709265,0.041396554122416815
2012,67.96484375,67.0,23.74609375,23.0,21.33984375,21.0,45.0859375,44.0,47.0735294117647,48.0,44.36702127659574,43.0,40.267578125,39.0,3.1484375,3.0,2.734375,2.0,2.4375,2.0,0.5905718680613645,0.5909090909090909,0.046204747167027015,0.04079306444202625
2013,68.44921875,69.0,24.796875,24.0,21.65234375,21.0,46.44921875,45.5,49.17142857142857,50.0,45.424731182795696,44.0,41.326171875,41.0,3.283203125,3.0,2.48046875,2.0,2.546875,2.0,0.603093174488225,0.6054484803558191,0.04802263553954016,0.03639875152613749
2014,67.958984375,68.0,23.7265625,23.0,21.203125,20.0,44.9296875,44.0,45.0655737704918,45.0,44.88717948717949,44.0,40.896484375,41.0,3.23046875,3.0,2.5859375,2.0,2.453125,2.0,0.601708949188525,0.6046176046176046,0.04756513628918311,0.03803227303253215
2015,68.60546875,69.0,23.390625,23.0,21.8828125,20.0,45.2734375,44.0,46.36666666666667,46.0,44.93877551020408,43.0,41.90625,41.0,3.345703125,3.0,2.509765625,2.0,2.513671875,2.0,0.6088417915746399,0.6081081081081081,0.04888047567360322,0.037235655812523145
2016,68.126953125,68.0,23.96484375,24.0,21.32421875,21.0,45.2890625,46.0,47.0,45.0,44.74226804123711,46.0,41.541015625,41.0,3.16015625,3.0,2.546875,2.0,2.50390625,2.0,0.6092657899164687,0.6115257048092869,0.046828775017603005,0.03752449279622416
2017,67.158203125,67.0,22.8125,23.0,20.30078125,20.0,43.11328125,42.0,43.6271186440678,41.0,42.95939086294416,42.0,40.16796875,39.5,3.0546875,3.0,2.4921875,2.0,2.33203125,2.0,0.5980068106637851,0.5971185737976783,0.04579024240960225,0.03712096477619835
2018,66.9453125,67.0,24.23828125,24.0,22.0234375,21.0,46.26171875,46.0,46.36666666666667,46.5,46.22959183673469,46.0,40.826171875,40.5,3.2890625,3.0,2.779296875,2.0,2.640625,3.0,0.608101396066073,0.6086956521739131,0.049288228996402235,0.04191843418958255
2019,67.662109375,68.0,22.546875,23.0,22.6796875,23.0,45.2265625,44.0,48.355932203389834,49.0,44.28934010152284,44.0,41.349609375,41.0,3.34765625,3.0,2.578125,2.0,2.55078125,2.0,0.6090796241999074,0.6103896103896104,0.049564230895583115,0.038468649080100725
2020,67.732421875,67.0,24.6484375,24.0,24.61328125,24.0,49.26171875,48.0,53.26373626373626,54.0,47.054545454545455,45.0,41.13671875,41.0,3.171875,3.0,2.767578125,3.0,2.83984375,3.0,0.6060423140623648,0.6166666666666667,0.047036276307188415,0.0412618068698723
2021,67.12316176470588,67.0,23.643382352941178,23.0,21.926470588235293,22.0,45.56985294117647,45.0,48.58227848101266,47.0,44.33678756476684,44.0,40.5735294117647,40.0,3.110294117647059,3.0,2.551470588235294,2.0,2.577205882352941,2.0,0.6035683379708795,0.6141604010025064,0.046806930672842174,0.038103959383163945
2022,66.41328413284133,66.0,22.649446494464943,23.0,20.73431734317343,20.0,43.38376383763838,42.0,46.76190476190476,47.0,41.86631016042781,40.0,39.43173431734317,39.0,2.9667896678966788,3.0,2.7416974169741697,2.0,2.3985239852398523,2.0,0.5920213947830617,0.5987012987012987,0.04500161772327228,0.04156365577183906
2023,66.66911764705883,67.0,22.88235294117647,22.0,20.301470588235293,20.0,43.18382352941177,42.0,45.79012345679013,43.0,42.07853403141361,41.0,40.22610294117647,40.0,3.1213235294117645,3.0,2.4613970588235294,2.0,2.363970588235294,2.0,0.6038025237638169,0.6030578898225957,0.047099517619281384,0.037017581703868326
2024,66.28676470588235,66.0,23.68014705882353,23.0,21.81985294117647,21.0,45.5,45.0,46.797872340425535,46.0,44.81460674157304,45.0,39.43382352941177,39.0,3.025735294117647,3.0,2.588235294117647,2.0,2.5073529411764706,2.0,0.5939483839223165,0.5971185737976783,0.04578037089997572,0.03931568120907332
