season,team,roof_class,games
2005,ARI,INDOOR,4
2005,ARI,OUTDOOR,12
2005,ATL,INDOOR,10
2005,ATL,OUTDOOR,6
2005,BAL,INDOOR,1
2005,BAL,OUTDOOR,15
2005,BUF,INDOOR,1
2005,BUF,OUTDOOR,15
2005,CAR,INDOOR,2
2005,CAR,OUTDOOR,14
2005,CHI,INDOOR,2
2005,CHI,OUTDOOR,14
2005,CIN,INDOOR,1
2005,CIN,OUTDOOR,15
2005,CLE,INDOOR,2
2005,CLE,OUTDOOR,13
2005,CLE,RETRACTABLE,1
2005,DAL,OUTDOOR,16
2005,DEN,OUTDOOR,16
2005,DET,INDOOR,10
2005,DET,OUTDOOR,6
2005,GB,INDOOR,3
2005,GB,OUTDOOR,13
2005,HOU,INDOOR,4
2005,HOU,OUTDOOR,7
2005,HOU,RETRACTABLE,5
2005,IND,INDOOR,9
2005,IND,OUTDOOR,7
2005,JAX,INDOOR,2
2005,JAX,OUTDOOR,13
2005,JAX,RETRACTABLE,1
2005,KC,OUTDOOR,15
2005,KC,RETRACTABLE,1
2005,MIA,OUTDOOR,16
2005,MIN,INDOOR,10
2005,MIN,OUTDOOR,6
2005,NE,INDOOR,1
2005,NE,OUTDOOR,15
2005,NO,INDOOR,6
2005,NO,OUTDOOR,10
2005,NYG,OUTDOOR,16
2005,NYJ,INDOOR,1
2005,NYJ,OUTDOOR,15
2005,OAK,OUTDOOR,16
2005,PHI,INDOOR,2
2005,PHI,OUTDOOR,14
2005,PIT,INDOOR,2
2005,PIT,OUTDOOR,13
2005,PIT,RETRACTABLE,1
2005,SD,INDOOR,1
2005,SD,OUTDOOR,15
2005,SEA,INDOOR,1
2005,SEA,OUTDOOR,15
2005,SF,INDOOR,1
2005,SF,OUTDOOR,15
2005,STL,INDOOR,10
2005,STL,OUTDOOR,5
2005,STL,RETRACTABLE,1
2005,TB,INDOOR,2
2005,TB,OUTDOOR,14
2005,TEN,INDOOR,3
2005,TEN,OUTDOOR,13
2005,WAS,INDOOR,1
2005,WAS,OUTDOOR,15
2006,ARI,INDOOR,8
2006,ARI,OUTDOOR,5
2006,ARI,RETRACTABLE,3
2006,ATL,INDOOR,10
2006,ATL,OUTDOOR,6
2006,BAL,INDOOR,1
2006,BAL,OUTDOOR,15
2006,BUF,INDOOR,2
2006,BUF,OUTDOOR,13
2006,BUF,RETRACTABLE,1
2006,CAR,INDOOR,3
2006,CAR,OUTDOOR,13
2006,CHI,INDOOR,3
2006,CHI,OUTDOOR,12
2006,CHI,RETRACTABLE,1
2006,CIN,INDOOR,2
2006,CIN,OUTDOOR,14
2006,CLE,INDOOR,1
2006,CLE,OUTDOOR,14
2006,CLE,RETRACTABLE,1
2006,DAL,INDOOR,1
2006,DAL,OUTDOOR,14
2006,DAL,RETRACTABLE,1
2006,DEN,INDOOR,1
2006,DEN,OUTDOOR,14
2006,DEN,RETRACTABLE,1
2006,DET,INDOOR,11
2006,DET,OUTDOOR,5
2006,GB,INDOOR,2
2006,GB,OUTDOOR,14
2006,HOU,INDOOR,6
2006,HOU,OUTDOOR,7
2006,HOU,RETRACTABLE,3
2006,IND,INDOOR,9
2006,IND,OUTDOOR,7
2006,JAX,INDOOR,1
2006,JAX,OUTDOOR,14
2006,JAX,RETRACTABLE,1
2006,KC,INDOOR,2
2006,KC,OUTDOOR,14
2006,MIA,INDOOR,3
2006,MIA,OUTDOOR,13
2006,MIN,INDOOR,9
2006,MIN,OUTDOOR,7
2006,NE,INDOOR,1
2006,NE,OUTDOOR,15
2006,NO,INDOOR,9
2006,NO,OUTDOOR,7
2006,NYG,INDOOR,1
2006,NYG,OUTDOOR,15
2006,NYJ,INDOOR,1
2006,NYJ,OUTDOOR,15
2006,OAK,OUTDOOR,16
2006,PHI,INDOOR,3
2006,PHI,OUTDOOR,13
2006,PIT,INDOOR,1
2006,PIT,OUTDOOR,15
2006,SD,OUTDOOR,16
2006,SEA,INDOOR,3
2006,SEA,OUTDOOR,13
2006,SF,INDOOR,4
2006,SF,OUTDOOR,12
2006,STL,INDOOR,10
2006,STL,OUTDOOR,6
2006,TB,INDOOR,2
2006,TB,OUTDOOR,14
2006,TEN,INDOOR,2
2006,TEN,OUTDOOR,14
2006,WAS,INDOOR,4
2006,WAS,OUTDOOR,12
2007,ARI,INDOOR,6
2007,ARI,OUTDOOR,6
2007,ARI,RETRACTABLE,4
2007,ATL,INDOOR,11
2007,ATL,OUTDOOR,4
2007,ATL,RETRACTABLE,1
2007,BAL,OUTDOOR,16
2007,BUF,OUTDOOR,16
2007,CAR,INDOOR,4
2007,CAR,OUTDOOR,12
2007,CHI,INDOOR,2
2007,CHI,OUTDOOR,14
2007,CIN,OUTDOOR,16
2007,CLE,INDOOR,1
2007,CLE,OUTDOOR,14
2007,CLE,RETRACTABLE,1
2007,DAL,INDOOR,1
2007,DAL,OUTDOOR,15
2007,DEN,INDOOR,2
2007,DEN,OUTDOOR,13
2007,DEN,RETRACTABLE,1
2007,DET,INDOOR,10
